,0
362,-9394.3312
363,-9398.2944
364,-9400.832
365,-9402.9384
366,-9405.7024
367,-9405.4496
368,-9409.2912
369,-9417.5984
370,-9422.5872
371,-9423.1728
372,-9420.1736
373,-9425.3008
374,-9429.5408
375,-9432.5296
376,-9436.2808
377,-9444.06
378,-9449.9728
379,-9448.3296
380,-9450.6224
381,-9455.5552
382,-9461.8544
383,-9454.52
384,-9460.8624
385,-9466.9096
386,-9469.0624
387,-9471.3544
388,-9477.1656
389,-9477.2736
390,-9480.0592
391,-9486.08
392,-9489.5568
393,-9493.9072
394,-9498.5968
395,-9501.404
396,-9504.6544
397,-9506.328
398,-9510.38
399,-9511.052
