,0
362,-10442.0744
363,-10444.96
364,-10445.9272
365,-10450.7048
366,-10448.9376
367,-10451.2136
368,-10459.5936
369,-10456.5264
370,-10459.4032
371,-10463.708
372,-10465.7536
373,-10466.3056
374,-10467.6056
375,-10473.128
376,-10473.3792
377,-10477.2824
378,-10480.1448
379,-10482.1344
380,-10484.912
381,-10485.8368
382,-10489.4464
383,-10491.4216
384,-10493.66
385,-10489.5696
386,-10490.3456
387,-10498.2192
388,-10502.3976
389,-10499.4048
390,-10502.5664
391,-10495.5152
392,-10504.884
393,-10508.4464
394,-10514.9344
395,-10515.416
396,-10516.5792
397,-10517.3616
398,-10514.4272
399,-10524.7808
400,-10524.4856
401,-10529.312
402,-10528.7064
403,-10533.0256
404,-10530.4864
405,-10533.9728
406,-10533.4304
407,-10538.5984
408,-10544.8064
409,-10539.9712
410,-10544.5768
411,-10547.6512
412,-10548.512
413,-10550.1824
414,-10554.6736
415,-10551.6592
416,-10561.804
417,-10564.7936
418,-10571.6912
419,-10566.1144
420,-10570.16
421,-10568.2352
422,-10573.5792
423,-10571.3528
424,-10579.4176
425,-10584.0456
426,-10581.9616
427,-10582.0672
428,-10585.4952
429,-10589.224
430,-10587.848
431,-10590.1696
432,-10592.0144
433,-10594.6112
434,-10591.8528
435,-10599.5712
436,-10598.2704
437,-10602.0368
438,-10605.08
439,-10607.0688
440,-10608.2064
441,-10615.8136
442,-10614.964
443,-10613.7512
444,-10622.1072
445,-10616.956
446,-10619.5392
447,-10625.7456
448,-10628.216
449,-10625.3072
450,-10624.6632
451,-10633.5656
452,-10626.472
453,-10635.1304
454,-10634.2984
455,-10640.0448
456,-10637.4032
457,-10643.9848
458,-10641.7168
459,-10651.0224
460,-10645.8384
461,-10646.8856
462,-10644.0336
463,-10647.4056
464,-10652.2032
465,-10655.2688
466,-10654.3816
467,-10659.6576
468,-10662.4832
469,-10661.2392
470,-10673.6816
471,-10671.0672
472,-10678.4432
473,-10673.684
474,-10676.6592
475,-10675.1856
476,-10678.964
477,-10683.696
478,-10684.4304
479,-10684.8608
480,-10684.8928
481,-10688.9568
482,-10687.7008
483,-10690.2712
484,-10691.7728
485,-10698.6576
486,-10698.5728
487,-10702.3776
488,-10711.2544
489,-10708.3064
490,-10706.4128
491,-10708.4608
492,-10713.7248
493,-10713.6856
494,-10714.5296
495,-10716.1352
496,-10721.5232
497,-10721.772
498,-10726.1184
499,-10727.8352
500,-10725.2976
501,-10728.3584
502,-10732.7312
503,-10734.776
504,-10740.8616
505,-10740.0016
506,-10738.0416
507,-10744.2424
508,-10741.5872
509,-10747.4784
510,-10747.0184
511,-10748.1936
512,-10748.928
513,-10757.4792
514,-10751.4472
515,-10759.728
516,-10764.2
517,-10761.8792
518,-10765.1248
519,-10763.5776
520,-10770.9704
521,-10771.5344
522,-10772.0888
523,-10767.3192
524,-10773.0344
525,-10778.2352
526,-10782.3184
527,-10779.0136
528,-10787.2664
529,-10786.532
530,-10787.7424
531,-10789.5448
532,-10790.8464
533,-10795.208
534,-10797.6528
535,-10801.6288
536,-10802.5896
537,-10803.3216
538,-10800.3616
539,-10806.7024
540,-10804.3632
541,-10808.0064
542,-10806.1992
543,-10807.0824
544,-10810.8256
545,-10814.7544
546,-10811.9744
547,-10821.9152
548,-10818.1
549,-10823.2832
550,-10824.6848
551,-10825.4816
