,correlation
0,-0.6261499150449539
1,-0.7446828630246073
2,0.865052277316902
3,-0.7904011318435541
4,-0.6311577468993208
5,-0.6817037737839332
6,0.8511764779938008
7,-0.7930303604485313
8,-0.5853905164557025
9,-0.6757309626471983
10,0.8031452110267959
11,-0.7297960726203393
12,0.6860086782641429
13,0.6933060723054204
14,-0.8817448080940969
15,0.8689660283998097
16,0.9186550981102595
17,0.5158258940620308
18,-0.49305864886630935
19,-0.8612036095521034
20,-0.7088562532364843
21,-0.8787645434001816
22,-0.41742636277192274
23,0.3924916013849815
24,0.8706681890162913
25,0.6561301120654711
26,0.81304573253795
27,0.47206903209969703
28,-0.44664039095393804
29,-0.8368337918212523
30,-0.6678513751931435
31,-0.8931852048471179
32,0.452671911668008
33,-0.42882376693200075
34,-0.8491410197962811
35,-0.6550711083184296
36,0.9242107227121485
37,0.5777926902504155
38,-0.5412727330431575
39,-0.49646575470405696
40,-0.9588109023227434
41,0.9210268793312489
42,-0.5888398379531011
43,0.5267523968032116
44,0.45948445361836004
45,0.9324977130077584
46,0.5831558507822294
47,-0.5343904641561219
48,-0.4880372066701733
49,-0.9577917978788772
50,0.877505177811836
51,0.5557144288928703
52,-0.5081881767515073
53,-0.4695611639209791
54,-0.9115206722058923
55,-0.8310501252059208
56,0.7839294857619672
57,0.8179229074227798
58,-0.8225250736062304
59,-0.8266582268479349
60,-0.9471975318603796
61,-0.8401214937925531
62,-0.9144680830559011
63,0.970635319808847
64,0.9766948435227027
65,0.9681959426639525
66,-0.8270672921975236
67,-0.9030684394039984
68,0.9616709417867326
69,0.9665760523879999
70,0.9268501706897522
71,-0.8308748066944724
72,-0.9076478364933805
73,0.965107748052781
74,0.9699838587588228
75,0.6906950142937043
76,0.4610590119397881
77,-0.5044283529111336
78,0.7652651731584776
79,0.7593711660823577
80,-0.9555133529393542
81,0.5530157915487179
82,-0.583609435241057
83,0.9468350352632281
84,0.9425052325639475
85,-0.9545808584190295
86,0.5490998141627035
87,-0.5808577213092166
88,0.9526716901203423
89,0.9489122538717533
90,-0.9578490040337654
91,0.5544631578991571
92,-0.5821325015159597
93,0.955142265563895
94,0.9459858873254127
95,-0.7717999832325783
96,0.8502835987812757
97,-0.7465604195902138
98,0.921858436034962
99,0.9425381613383091
100,-0.8528514543108704
101,0.754927441468521
102,-0.9003657100147258
103,0.9486845749486889
104,-0.8572332701356478
105,0.7596475819736829
106,-0.900427570059224
107,-0.8520758867377989
108,-0.6364100018304553
109,0.8474562544836483
110,0.8216436698667084
111,0.7340927743459275
112,0.9383851527798515
113,-0.7315438429762432
114,0.9474611509723452
115,0.9131219621620822
116,0.8410248727412588
117,-0.7614125058001181
118,0.9306451592268812
119,0.8998527623397334
120,0.8542933948344851
121,0.9511748133330151
122,-0.7336731417596194
123,0.9549403917143593
124,0.9198849612578728
125,0.8454382381389619
126,-0.845661502961164
127,-0.9465542900292068
128,0.9684142729102857
129,0.9677984969336032
130,-0.8544930388525654
131,0.9355898553528389
132,0.9239396123176145
133,-0.936212272006022
134,-0.9367851161014746
135,0.8665962703462683
136,0.9189515548453517
137,0.916219150011862
138,-0.9216724737558506
139,-0.9209963212621638
140,0.8756564514691771
141,-0.9585369042480459
142,-0.9478579075381102
143,0.970656374243652
144,0.9684081037578761
145,-0.8551496472768838
146,0.9680066548442536
147,-0.9468213631586129
148,0.7656451072230832
149,0.3404317001686403
150,-0.9548463417423222
151,-0.9325662246823296
152,-0.9431730420964741
153,0.7615786758744567
154,0.339890605458543
155,-0.9503751765707359
156,-0.9330379974119362
157,-0.9574162948888704
158,0.7840482512225491
159,0.3544038933354792
160,-0.9664359461059487
161,0.9730642583661556
162,-0.9529972259378077
163,0.769669156461102
164,0.3445951793101321
165,-0.960675423913343
166,-0.9535114662994796
167,-0.9381294441675128
168,0.15636292157097126
169,-0.4787877718128263
170,0.1315629870930485
171,0.39462743270237505
172,0.39484910890813707
173,0.06283379503432782
174,0.6528542516999508
175,0.0793399648068833
176,-0.9028097264582743
177,-0.8706298949369691
178,0.21166155142384094
179,-0.43648211401179826
180,0.18659213726941046
181,0.972666344782664
182,0.9517882521375864
183,-0.17268711695489822
184,0.48176314108137813
185,-0.15081625471562263
186,0.9531141047442098
187,-0.49279451400208757
188,0.581114897116072
189,-0.9566392814055136
190,0.41493318740947727
191,0.736929642920997
192,0.6242466351404633
193,-0.5207367693798545
194,0.4003073205194245
195,0.182424385754565
196,-0.9309201234666739
197,0.45871840067513364
198,-0.5910278657513004
199,0.8979013335483697
200,-0.3403465536398957
201,0.9525054173215357
202,0.48816324174653963
203,-0.5637091586635006
204,0.9462189148482467
205,-0.39491252405320293
206,-0.9164717025317225
207,0.966769619151756
208,-0.7389056698139415
209,-0.9255317648172308
210,0.9676104872995285
211,0.5760259179613179
212,0.32913575028227554
213,-0.3566331356714733
214,-0.3185061807322292
215,0.3252159777596071
216,-0.9276040095702425
217,-0.9288279501487301
218,0.7558081002619473
219,0.9423446647897589
220,-0.9287598241517876
221,0.22744137066887657
222,0.3443789977730279
223,-0.42156698355935307
224,-0.350332689597296
225,0.3421157241620285
226,-0.9254506045350397
227,-0.6228216872271771
228,-0.9311140295052025
229,0.8611905807160272
230,-0.12339410043569185
231,-0.6999453333821453
232,-0.5163264246526857
233,-0.31797188814054356
234,0.4473400683012545
235,-0.48287686092284443
236,-0.906920361895581
237,0.6427776365444228
238,0.9262949257142892
239,-0.8161709641229092
240,0.10440403780396254
241,0.7702065331985755
242,0.5140062313220795
243,0.3249750386924241
244,-0.4336940041989411
245,0.5262801684919365
246,-0.746341962259775
247,-0.4857472597504606
248,0.1854284330334454
249,0.5008148331050305
250,-0.09788075742461329
251,-0.7546839902979209
252,-0.43339576120356593
253,0.7535941169042923
254,0.6106116369446982
255,-0.6216093595742566
256,-0.8582954460434623
257,0.7479361899559115
258,-0.20085140070852445
259,-0.416334032632358
260,0.1034807938752398
261,0.765587870714079
262,-0.4232941389735637
263,0.7799424246958643
264,0.5824967115062861
265,-0.6212669649433785
266,-0.6803219946064404
267,-0.11169342437985717
268,-0.09343284789005833
269,-0.2744724840214354
270,0.7262413648960807
271,-0.7332342269395801
272,-0.7439387212315994
273,-0.7046171385744118
274,-0.6996858208697919
275,0.3265243606126637
276,-0.617643927274952
277,0.4596064101329027
278,0.43259840075450806
279,0.5989762581747133
280,-0.6098662106831216
281,-0.7299316170300959
282,-0.7529439630762214
283,-0.717216179038723
284,-0.6969113371738708
285,0.30095129808790305
286,-0.7512873525999824
287,0.1495391075220718
288,-0.642336564800554
289,0.6031216223687622
290,0.6100474074457685
291,0.7820447557027755
292,-0.706978272906547
293,0.440672153712012
294,-0.5027891096334801
295,-0.460217959706107
296,0.6357828722885335
297,0.4995036431663118
298,-0.5627187417629913
299,0.6261602673123496
300,0.6123108274329173
301,0.7958038921382854
302,-0.7054948197459368
303,0.4363565581807716
304,-0.49341828384683006
305,-0.4725407217401916
306,0.630770900412073
307,0.6767139041171042
308,-0.8840880606197551
309,0.9294871606809265
310,-0.5951741797750945
311,-0.502628478300633
312,-0.785063029855123
313,-0.8836255021286709
314,0.6188568880504408
315,0.709955812897457
316,0.9282563693751934
317,0.8568755279536597
318,0.6127720610932175
319,0.5999638074476393
320,0.8088930550621336
321,0.7720523439221164
322,0.6559647426222704
323,0.5573507397690224
324,0.8540473535262418
325,0.9277223787308768
326,-0.8501253343983358
327,0.8301865023604498
328,-0.536430604663919
329,0.6120995639049576
330,-0.8647516083601124
331,-0.015925514331494993
332,0.047676731133479214
333,-0.3729573864838345
334,0.3601185182996478
335,0.9301044297781272
336,0.36390731825870815
337,0.405387325197219
338,-0.5404493352426044
339,0.6285231008449969
340,0.24830707596872517
341,0.8399174940968377
342,0.7970534724075814
343,-0.22723037230239673
344,0.5416861888071561
345,0.9239474481967622
346,0.11860941556356808
347,0.17642728714857434
348,-0.47689575820073876
349,0.4804366319788869
350,0.6803930952474441
351,-0.5247659112492102
352,0.48100354012763524
353,0.9490842590790435
354,-0.8670818377470371
355,0.7569540651570194
356,0.6810944486077752
357,-0.373502917699987
358,-0.7900179875833232
359,0.9395273847220732
360,-0.6244036327002854
361,-0.7714977526228041
362,0.546643606556487
363,0.9438020964179326
364,0.7431904161088684
365,-0.012189996288205935
366,-0.2950764669604745
367,0.4558902410677093
368,0.3441480569115709
369,0.9192788412737898
370,-0.7055025860497414
371,-0.7287526922552386
372,0.4353108860793933
373,0.8761538325620735
374,0.9304793548693525
375,0.8875155540016835
376,-0.942729147066356
377,-0.9588557131440011
378,0.941923331728991
379,-0.8892166819892554
380,-0.7853556001763147
381,-0.7951266342134372
382,-0.8031883011563345
383,-0.9418210730773663
384,-0.8432532346447782
385,-0.9064567170933893
386,-0.9445443401319804
387,-0.9568507906898036
388,-0.43624422799957585
389,-0.6955454692305699
390,-0.7987721202264028
391,-0.8254288590264641
392,-0.8362040819818971
393,0.926663217144068
394,0.9265713780537497
395,0.8594896945440569
396,0.8656933167431023
397,0.8726160922464257
398,0.5631357263345844
399,-0.3929160777848941
400,-0.9495940715838769
401,-0.8703639327270187
402,-0.9024651378277313
403,0.7057160831891607
404,0.3952925786787951
405,-0.770478149262001
406,-0.8607818528978307
407,-0.9402287247180084
408,0.5855830605343574
409,0.34212597098982744
410,-0.9343619469954915
411,-0.8730995384377721
412,0.8085028290486431
413,-0.451945325994287
414,-0.280363523488652
415,0.8535560533967126
416,0.722423288010789
417,-0.8578063077253445
418,-0.5810344541986864
419,-0.3379455700562891
420,0.7865981750586101
421,0.9075224152558711
422,0.9521104982281597
423,0.9022967883910974
424,0.8374741541913555
425,0.9529921912369136
426,-0.8615005044253089
427,0.9171227693029472
428,-0.6746353058057313
429,0.9520853230790604
430,0.9440151741020937
431,-0.8675149669095844
432,0.7522316623169166
433,-0.8681715711190259
434,0.7834499717237935
435,-0.5429210057101336
436,-0.29403691775850316
437,0.13079951084333943
438,-0.5005177502067172
439,0.133837500654883
440,0.8993766709822067
441,0.9600013372328192
442,-0.7974861180264868
443,0.739818070047545
444,-0.8237223253133683
445,0.916218406241766
446,-0.9541703878388189
447,-0.8989313924418845
448,0.9030968804557652
449,-0.898190902668926
450,0.9052646646086464
451,0.789645922029712
452,0.7807100299243362
453,-0.8955373158872773
454,0.9534988868698901
455,-0.7505050984903925
456,-0.9476709039365293
457,-0.9275457215782033
458,0.8773674094315522
459,0.46369675465258336
460,-0.6106785329694956
461,-0.8102997667794334
462,-0.7937544882528987
463,0.7289846560702276
464,0.9508384571802976
465,0.8498040933856102
466,0.8380022730443286
467,0.8297880725512866
468,-0.920045747861072
469,0.933823058598951
470,-0.9393373402344172
471,0.9637431752021786
472,-0.8671058737968806
473,-0.8925527381691647
474,0.7841075152043595
475,0.8201598831630816
476,-0.7740043441912405
477,-0.7927689082127508
478,0.9534646130384944
479,0.9435272948816755
480,0.9400156167907687
481,-0.953713172547931
482,-0.9684864228780531
483,0.810038396270264
484,0.9441602318416771
485,0.9443851921033907
486,-0.9543048911323779
487,-0.9707359535424493
488,0.8454368229420006
489,-0.949458619317394
490,-0.9429850163480649
491,0.9682223310885013
492,0.9829355154373725
493,-0.9397183372563002
494,0.9285114190497237
495,-0.42847367033678385
496,-0.9577927353455093
497,-0.831809495542574
498,0.7216071889342285
499,0.8741966658063736
500,-0.3210887476018138
501,0.7346852430588203
502,0.9660247411214011
503,-0.958740912027441
504,-0.7922509963748176
505,0.19507841736332837
506,-0.9685503708917629
507,0.9599839764210065
508,-0.9551923097870209
509,-0.7861196696002066
510,0.1831580914533198
511,-0.9649654607528616
512,-0.9550045067393058
513,-0.9437580925910044
514,-0.8069412521461606
515,0.20753572945730492
516,-0.9538359701208209
517,-0.9460873164949745
518,-0.31484981451980304
519,-0.5470421140017886
520,-0.3119093856989427
521,-0.34752748538382144
522,0.1565308451610172
523,-0.3199592918871615
524,0.04967963258182683
525,-0.34069144110806093
526,-0.9565794379611303
527,-0.9530533838235781
528,0.5194822100336864
529,-0.7509779988833494
530,-0.22829451119479724
531,-0.9614326002393124
532,-0.9606264413485629
533,0.5228403721290867
534,-0.7580868793891125
535,-0.23229531871956438
536,0.910045657676594
537,0.9121292761790368
538,-0.5465485118813099
539,0.7289859245326468
540,0.22013497677024138
541,-0.4895028187556859
542,-0.45790540042935823
543,0.9508354739175826
544,0.8279070133223
545,-0.29567170954437694
546,0.4647122555749847
547,0.10170623908631965
548,-0.4108801048559137
549,0.8309871682686631
550,-0.955003981771888
551,0.8961013843203798
552,-0.5076827702878837
553,-0.9528712607815534
554,0.4422169568298585
555,-0.877184240487432
556,0.824156660357874
557,-0.4745825706635964
558,-0.8679253467446492
559,0.36538626025639154
560,-0.45324782370759953
561,-0.44969965872487505
562,0.5682197084645012
563,0.48846013050687925
564,0.08045730288595514
565,0.9723895375625422
566,-0.6407925079151938
567,-0.9346007467236945
568,-0.9286313800122371
569,0.802640022603445
570,-0.3190050293794495
571,-0.15367976792458368
572,-0.31444110396188263
573,0.30046155604285657
574,-0.9096379255372972
575,0.9715295872138613
576,0.6810539750601723
577,0.972347638437148
578,-0.9259200836212043
579,-0.9334447830381973
580,0.9566417034058178
581,0.6640621399754086
582,0.9567307582200508
583,-0.9083597411682534
584,0.2706570355239563
585,0.034831680151436104
586,0.11985156911601755
587,0.04151515307614301
588,-0.02824445179513767
589,0.6298973134807451
590,-0.9278061676296346
591,-0.9148750377143463
592,-0.4753653600600784
593,-0.4121895997413099
594,-0.056433028060509614
595,-0.0010982550947820284
596,-0.11902768768133601
597,0.444026157055586
598,-0.7379129922102698
599,-0.46390019742750765
600,0.7061006809477317
601,-0.6458883432083501
602,-0.13693725740558013
603,0.9430429189865454
604,0.461748294305068
605,-0.9084855227261996
606,0.8571605328437139
607,0.2931527050529946
608,-0.36277382213598125
609,-0.09360007804468487
610,-0.0429333096515234
611,-0.06635976102701759
612,0.47004297964493325
613,-0.5412449497501487
614,0.8884388112203324
615,0.8861264107976525
616,-0.5567008232424497
617,0.4413128915239398
618,-0.14312244459443585
619,-0.3995882202234562
620,-0.06686602591195143
621,-0.5466487243451441
622,0.595450214202369
623,-0.3930438485311667
624,-0.333272680205776
625,-0.47669443817953994
626,-0.09183647827154189
627,0.37785026977324876
628,0.5237887943191599
629,0.7848188485971626
630,0.5196003526667173
631,0.5932322994292643
632,0.44831923353542014
633,-0.20647845250857397
634,-0.26494658281817773
635,-0.10707728390021297
636,-0.35241589061463113
637,-0.7590133784270781
638,-0.7394765835926339
639,-0.7702435624511373
640,-0.47367408231662805
641,0.5917950175743253
642,0.19688618538997857
643,0.19862631566318328
644,0.0346993844455101
645,-0.16566558648178623
646,0.593380557952315
647,0.3578422195338921
648,0.3750135565676253
649,0.4883227704685516
650,-0.4712901905011176
651,-0.6509316160377836
652,0.5805976489806616
653,0.5910721587380727
654,0.5405790100060733
655,-0.5875402105394462
656,0.44380018612343175
657,0.242634181429276
658,0.23859689374046097
659,0.10865339167332201
660,-0.20093557897735856
661,-0.7519632786791032
662,0.4299335478735071
663,0.6332104446606326
664,0.6262937253893155
665,-0.5111185980407434
666,-0.41217113027721725
667,-0.2886746990236516
668,0.14336505294453772
669,-0.25634507526221134
670,0.6014716822127228
671,0.3332844257839146
672,0.4948330083688656
673,-0.5241956732604237
674,-0.5614422579050754
675,-0.6504441653438607
676,-0.5842966811855217
677,-0.5201604829017595
678,0.42362009704978737
679,0.05333295463198916
680,0.44076683011971857
681,0.26082125266027884
682,0.14884308138523633
683,-0.06977782602397851
684,0.16879506635660665
685,0.6322933413776693
686,-0.7285572804235686
687,0.6584401501162364
688,-0.8534269294051781
689,-0.3398513121819975
690,0.345104363864601
691,-0.2503026417561787
692,0.2478059613274514
693,-0.5655940179899455
694,0.8518710352799341
695,-0.6569124940678471
696,0.6982329471149472
697,-0.6157899538849885
698,0.5963981108740627
699,-0.41206455223229155
700,0.7118515417599837
701,0.5848291018779805
702,-0.6236284181784923
703,0.4132410437010363
704,-0.7709234675910068
705,0.919321456526789
706,0.8338556265918798
707,0.5384869848272169
708,0.6250615202316221
709,-0.5157357488734705
710,0.1852356874166948
711,0.2056779253801975
712,-0.34783678694500836
713,0.27988680205026784
714,0.8208187183178712
715,-0.3974442653238813
716,-0.4352181828014427
717,0.5666923871840839
718,-0.6346800579834647
719,0.5949585922454069
720,-0.06794817543123977
721,-0.10768220051277926
722,0.4342613728916745
723,-0.3343004230904819
724,0.6780274978132014
725,0.12990679458580034
726,0.12405315149338673
727,-0.4042693241653467
728,0.3852569772513158
729,-0.6138346412717002
730,0.2309599337602118
731,-0.38605425146024036
732,0.8574110661128698
733,-0.5234601605184596
734,-0.15498390037905177
735,0.5029903930318431
736,0.5466844460616253
737,-0.25289771292674235
738,0.8160654657583558
739,-0.49006913508685357
740,0.30643838844100163
741,0.5021339150387806
742,-0.7364338674221724
743,-0.6245085241177705
744,0.6215244506339228
745,-0.3134089490570901
746,-0.440640605071529
747,0.8708235745613799
748,0.630951807642267
749,0.5228233753579897
750,-0.3433993042163435
751,-0.3326220175267999
752,0.6874467723952128
753,-0.8937237542509279
754,0.34571571054812006
755,-0.9495075661489838
756,0.9209977401978672
757,-0.5254886456453033
758,-0.2638029900272274
759,0.13125641057176998
760,-0.35574673063852114
761,0.35836760943117596
762,0.8740175654053658
763,0.8306769469487958
764,-0.4339372420630241
765,0.9673285557499899
766,-0.9179085208119998
767,-0.8929525622184509
768,0.9359605404350078
769,-0.2646199545850268
770,0.8805962426130137
771,-0.8576992790498726
772,0.6387242435901253
773,-0.7410280697126426
774,0.13234994525226143
775,-0.6515198101543729
776,0.6336629519669109
777,-0.6727451820051727
778,-0.39546399771844515
779,0.9605155991963541
780,-0.9118286955505437
781,0.13656756469090195
782,-0.5973433747781494
783,-0.4206137520509561
784,-0.5081671928666718
785,0.5993220275724422
786,-0.9461814335382789
787,-0.7941737997550393
788,-0.5172146987525781
789,-0.9480582297052043
790,0.8682415186873302
791,0.9642925522416451
792,0.8529885850534775
793,0.5484726537643823
794,0.8709554277027759
795,-0.9229299420107473
796,-0.7033116266732903
797,0.8730834155033796
798,0.49949374453768886
799,0.7879074953086224
800,-0.9007376993412445
801,-0.9015795600999102
802,0.9018417090294787
803,-0.5336316103024112
804,0.9488533920388356
805,0.5677524970181258
806,0.6843390108456955
807,0.7160778347886729
808,0.1903038049789708
809,0.7223576696388712
810,-0.9442465636457739
811,-0.8355736809355193
812,-0.7326646835848469
813,-0.5383916750020555
814,-0.7590399980526652
815,-0.9438959399884507
816,0.9194970515816518
817,0.8354023456800208
818,0.34444965145220835
819,0.862768525722687
820,0.9317528768487066
