,correlation(1000 epochs)
0,-0.6336050107052505
1,-0.7412345254359269
2,0.8650575273412386
3,-0.7777307317103431
4,-0.6437092665325543
5,-0.6760359990645218
6,0.8538243985313522
7,-0.7855635755074295
8,-0.5958654397595702
9,-0.6738423463084371
10,0.8058776913715446
11,-0.7239837654376617
12,0.697121332159884
13,0.69058536550274
14,-0.8836899743870018
15,0.8643229398658081
16,0.9211652004056741
17,0.5230069083465396
18,-0.5035320644644239
19,-0.8601754512932952
20,-0.7270655632440567
21,-0.8765743291478969
22,-0.4177458980289683
23,0.3930963559570705
24,0.8701238145281001
25,0.6719127353212783
26,0.800382472279036
27,0.4711778148754323
28,-0.44536416063422296
29,-0.824211893243447
30,-0.6635851804264126
31,-0.895286824510057
32,0.45660505694994175
33,-0.433177405114117
34,-0.8476449243655915
35,-0.666851781319334
36,0.9193928275242738
37,0.5689864777424218
38,-0.5435302751559657
39,-0.5172339996279042
40,-0.9549533277722043
41,0.9202193134203983
42,-0.5778953589969629
43,0.5290455079990083
44,0.4930944588957916
45,0.930726355917734
46,0.5730345821211473
47,-0.5364016066769774
48,-0.5066883541561262
49,-0.9508826638836138
50,0.8826561363597225
51,0.5580381056426862
52,-0.5146835529954649
53,-0.48554238068171274
54,-0.9129685700402417
55,-0.8430150451327069
56,0.7943487863785001
57,0.8280467328924845
58,-0.834479420154817
59,-0.840779449604938
60,-0.9431034320449504
61,-0.8489010572551218
62,-0.9152328572514571
63,0.9689789530961764
64,0.977765659207072
65,0.9649314785077391
66,-0.8381939125095423
67,-0.9049462925729931
68,0.9602096184365893
69,0.9694681101651795
70,0.9339660575714789
71,-0.8467968757716449
72,-0.9104919915007967
73,0.967954931880029
74,0.976780355132049
75,0.7089416903479977
76,0.4650936658304699
77,-0.478956481900104
78,0.7759805085445382
79,0.7747126308973236
80,-0.9525471037172
81,0.5533190347558801
82,-0.5561617747125566
83,0.9479222035556795
84,0.9390100198962553
85,-0.9465778718451647
86,0.5494663514263993
87,-0.5515911772859147
88,0.9531230814184282
89,0.9422445837879233
90,-0.9582165641702086
91,0.5565751877402548
92,-0.5544625053563866
93,0.959175498567329
94,0.9501016978963048
95,-0.7797201704711596
96,0.8517195618390402
97,-0.7453813404146677
98,0.9243649898614035
99,0.943439453101403
100,-0.8572531125984645
101,0.7617681853168536
102,-0.8984159207935672
103,0.9545109197536679
104,-0.8581917108219773
105,0.755668490942265
106,-0.9065327011828183
107,-0.8611158760858395
108,-0.6434056971034854
109,0.8551382905730426
110,0.8319506660095454
111,0.7454388156004713
112,0.9434537897458604
113,-0.7287295168724313
114,0.9524161801141446
115,0.9190108634119556
116,0.8401355264645668
117,-0.7518505458353214
118,0.9326886188598846
119,0.9101208972167804
120,0.8516672186184673
121,0.9579059707552671
122,-0.7289438336793239
123,0.9583352951739464
124,0.9280801523041365
125,0.8437805612329604
126,-0.8507224179133569
127,-0.9412306165336572
128,0.960237899851387
129,0.9671807817026887
130,-0.8595947628631829
131,0.938564095220412
132,0.9279866141656751
133,-0.9327912946535789
134,-0.9374902765218941
135,0.8775450346103416
136,0.9255820017906307
137,0.9148459415769731
138,-0.9190697384089167
139,-0.92330680219625
140,0.8816137089805562
141,-0.9627837478598053
142,-0.9464387159212658
143,0.967013451746259
144,0.9723023923891102
145,-0.8638870819758739
146,0.9663580344542143
147,-0.9482908263501459
148,0.764138592728991
149,0.3405014792493955
150,-0.9548613832803645
151,-0.938275236426146
152,-0.9470769274216312
153,0.7649891962593653
154,0.3434428918913181
155,-0.9528461005008284
156,-0.9351974586587437
157,-0.9614318824938021
158,0.7849160129428135
159,0.3560891875076744
160,-0.9681001982218317
161,0.9763651113248925
162,-0.9541827966149973
163,0.7706380123129141
164,0.3465732839069
165,-0.960790640430125
166,-0.957299171310259
167,-0.9430656153933562
168,0.1687290308877386
169,-0.4791646760533493
170,0.13794684945279845
171,0.38524929023884225
172,0.3876054417668276
173,0.0697423508698524
174,0.6589549754887184
175,0.09344866110329206
176,-0.9053991066977682
177,-0.8756002700178561
178,0.2131669029647788
179,-0.4404671295660918
180,0.18180064619186984
181,0.9672116825135868
182,0.948712736277116
183,-0.1768843736004372
184,0.4726399778879848
185,-0.14807831313754952
186,0.9610605062241928
187,-0.4938798261033532
188,0.5854466908733785
189,-0.9555762196672782
190,0.39722688585119886
191,0.7364728541629662
192,0.6341740216733617
193,-0.5324548436866837
194,0.39472123767566897
195,0.1928493015415468
196,-0.9301898130479815
197,0.45719658045956907
198,-0.5873491485677633
199,0.9012905308692057
200,-0.3225030207833046
201,0.9393762873672586
202,0.4831710431930242
203,-0.5681764122646413
204,0.941014847721805
205,-0.3728720189106763
206,-0.916825947815665
207,0.9683912286806726
208,-0.753615187687946
209,-0.9281722393140077
210,0.9681921848804961
211,0.587383371719601
212,0.33125760443214164
213,-0.348741351917464
214,-0.3266474594038104
215,0.3312175061342695
216,-0.9257117079471145
217,-0.9246265849131348
218,0.7716313975846318
219,0.9375350610601266
220,-0.9231049683286827
221,0.2225159944799676
222,0.3375994425653429
223,-0.4069518681463884
224,-0.35146295303129266
225,0.33586579980503317
226,-0.9246708121672754
227,-0.6140960714091771
228,-0.9311190855071496
229,0.859261135606056
230,-0.12686079163521571
231,-0.6787682471828376
232,-0.5161574487386814
233,-0.31105200239865555
234,0.44036565098306407
235,-0.472032357889347
236,-0.9058037504279701
237,0.6385986919539347
238,0.928065902521932
239,-0.8156271315250898
240,0.10951895102688042
241,0.7856203554796453
242,0.5183669793741835
243,0.3178916916556331
244,-0.4277875963199369
245,0.5135212803462594
246,-0.7494374300665207
247,-0.4914690858497301
248,0.18791879233703965
249,0.5025686626519676
250,-0.10003456731786681
251,-0.7556434285148834
252,-0.4399997448074238
253,0.7430132054824556
254,0.6184070933365783
255,-0.6092961710303036
256,-0.8574351588110554
257,0.738989010373106
258,-0.20609414361076867
259,-0.4148704051837946
260,0.10437924245647802
261,0.764104160837934
262,-0.4274878871768003
263,0.7613871961062065
264,0.5928241108551124
265,-0.6034344049893342
266,-0.6807275499846536
267,-0.12067130479605218
268,-0.10650734231464072
269,-0.2873721706252035
270,0.7291193633034808
271,-0.7201777296081203
272,-0.7277652918543761
273,-0.7042021860075746
274,-0.6867266058948027
275,0.3163695051841989
276,-0.6109410095480597
277,0.45800045473145656
278,0.4423118426673926
279,0.6070768083128437
280,-0.6086938689343264
281,-0.7228036466328277
282,-0.7455333888604003
283,-0.7195421032538668
284,-0.6967142413022639
285,0.3072151175051283
286,-0.7438785892920988
287,0.16721649656625825
288,-0.6477880336270512
289,0.590889917002809
290,0.6125020904500753
291,0.7943826702942679
292,-0.6984397517521472
293,0.4401110600087691
294,-0.49658911563361874
295,-0.4766014974832889
296,0.6417263726903063
297,0.4908572069427429
298,-0.5832904724414214
299,0.6397775796473895
300,0.6075946787507012
301,0.7961014837288458
302,-0.703629575789479
303,0.4330487653451235
304,-0.4951150196470767
305,-0.4675403486905799
306,0.6391692892061358
307,0.681161139432758
308,-0.8811310935690547
309,0.9269945373289579
310,-0.5918356831411694
311,-0.4955469472580566
312,-0.7823606079354117
313,-0.8694655573050873
314,0.631384588934791
315,0.7041537692367172
316,0.928440018189009
317,0.8656342466074597
318,0.6157426503418794
319,0.5901482353606953
320,0.7975144850303748
321,0.7710099375881114
322,0.6521097991995475
323,0.5483309251410897
324,0.8512099952516323
325,0.9261449746985855
326,-0.8459673332488099
327,0.8293214702606876
328,-0.5415539262322722
329,0.6080686405264188
330,-0.8628921858344263
331,0.0012243892833798426
332,0.05929532493234636
333,-0.3629247204350399
334,0.3526111476055737
335,0.9314996704822411
336,0.36872370661591236
337,0.3958166636665805
338,-0.5363550077023205
339,0.6310575295038867
340,0.2609031613506377
341,0.839040645307905
342,0.8057248939521794
343,-0.22991016359710373
344,0.5581564149296875
345,0.9155493096556939
346,0.1392968126430626
347,0.18154188029009538
348,-0.4775910287163783
349,0.4856260468593753
350,0.6738821327035573
351,-0.51804560358073
352,0.47854743978665487
353,0.9509496404724039
354,-0.8661958443760994
355,0.7590890954751464
356,0.6755688858916432
357,-0.38060148763111334
358,-0.7840210318428668
359,0.9368698634575068
360,-0.6227111665166887
361,-0.775669040076976
362,0.5473614014115139
363,0.9446603312710072
364,0.7464212763772687
365,-0.036478725280773
366,-0.3157707916395387
367,0.4269123510917535
368,0.3630832163983045
369,0.9193197702348497
370,-0.7015402961362196
371,-0.7329470553498341
372,0.4355328409663621
373,0.8754513577356874
374,0.9286608559871858
375,0.8976889995913134
376,-0.9420414179925389
377,-0.9566079109308475
378,0.9390966021248065
379,-0.8865556704811992
380,-0.7798263749927379
381,-0.8013724114235695
382,-0.8003733964538864
383,-0.9415437129077697
384,-0.8462346648311736
